,time,average,size
0,0.12454080581665039,0.12454080581665039,772893
1,0.20798087120056152,0.16626083850860596,768819
2,0.29839444160461426,0.21030537287394205,769679
3,0.38313937187194824,0.2535138726234436,772472
4,0.46970367431640625,0.2967518329620361,773356
5,0.5546097755432129,0.3397281567255656,773206
6,0.6416623592376709,0.3828616142272949,770166
7,0.73268723487854,0.42658981680870056,770350
8,0.8174638748168945,0.4700202676984999,769957
9,0.903784990310669,0.5133967399597168,769497
10,0.9882590770721436,0.5565660433335737,768922
11,1.0727424621582031,0.5995807449022929,769108
12,1.1568269729614258,0.6424458393683801,769485
13,1.2409238815307617,0.6851942709514073,769539
14,1.3251731395721436,0.7278595288594564,769572
15,1.4225108623504639,0.7712752372026443,769590
16,1.5003478527069092,0.8141618616440717,769411
17,1.5858826637268066,0.857035239537557,769411
18,1.6715643405914307,0.899905192224603,769411
19,1.756176233291626,0.9427187442779541,769411
20,1.8400299549102783,0.98544784954616,769100
21,1.9247081279754639,1.0281414985656738,768849
22,2.009183406829834,1.070795494577159,769107
23,2.0936524868011475,1.1134145359198253,768289
24,2.175748109817505,1.1559078788757324,748371
25,2.255843162536621,1.198213082093459,728975
26,2.3356196880340576,1.2403392526838515,724416
27,2.414529800415039,1.2822746293885368,718234
28,2.494915723800659,1.3240898395406788,726939
29,2.5722451210021973,1.365695015589396,706601
30,2.6499791145324707,1.4071235349101405,706201
31,2.726696729660034,1.4483601972460747,701492
32,2.805851936340332,1.4894963105519612,717833
33,2.883211374282837,1.5304879300734575,704317
34,2.9582700729370117,1.5712817055838448,703491
